,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164107.0,2386.0,0.0,0.9856690671679891,0.014330932832010956,0.0,,0.0,1.0,,
1,1.0,1665.0,391.0,1274.0,23.483483483483482,76.51651651651652,1665.0,391.0,1274.0,0.23825918455641745,53.39480301760268,53.156543833046264,0.3069073783359498,1274.0,163716.0,1112.0,391.0,0.990972593442367,0.009027406557633054,0.0023825918455641745,0.3069073783359498,0.5339480301760269,0.9976174081544358,0.7651651651651652,0.6289804986423106
2,2.0,1665.0,1561.0,104.0,93.75375375375376,6.246246246246244,3330.0,1952.0,1378.0,1.1894678471972555,57.75356244761107,56.56409460041381,1.416545718432511,1378.0,162155.0,1008.0,1952.0,0.9822214747767173,0.01777852522328266,0.011894678471972555,1.416545718432511,0.5775356244761106,0.9881053215280274,0.4138138138138138,0.4821553533939818
3,3.0,1665.0,1636.0,29.0,98.25825825825825,1.7417417417417482,4995.0,3588.0,1407.0,2.1863783994588895,58.968985750209555,56.782607350750666,2.550106609808102,1407.0,160519.0,979.0,3588.0,0.9725694173328608,0.02743058266713916,0.021863783994588895,2.550106609808102,0.5896898575020956,0.9781362160054111,0.2816816816816817,0.3812491532312694
4,4.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,6660.0,5241.0,1419.0,3.1936480467012376,59.47191953059514,56.2782714838939,3.693446088794926,1419.0,158866.0,967.0,5241.0,0.9627131470992775,0.037286852900722554,0.031936480467012376,3.693446088794926,0.5947191953059514,0.9680635195329876,0.21306306306306305,0.3137298253371656
5,5.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,8325.0,6897.0,1428.0,4.202745769528417,59.849119865884326,55.646374096355906,4.829831932773109,1428.0,157210.0,958.0,6897.0,0.9528208393145657,0.04717916068543422,0.042027457695284175,4.829831932773109,0.5984911986588433,0.9579725423047158,0.17153153153153153,0.2666417701428438
6,6.0,1665.0,1650.0,15.0,99.09909909909909,0.9009009009009077,9990.0,8547.0,1443.0,5.208187341185933,60.4777870913663,55.26959975018037,5.923076923076923,1443.0,155560.0,943.0,8547.0,0.9430006066321106,0.05699939336788934,0.05208187341185934,5.923076923076923,0.6047778709136631,0.9479181265881407,0.14444444444444443,0.23319327731092437
7,7.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,11655.0,10204.0,1451.0,6.217894422541391,60.813076278290026,54.595181855748635,7.032391454169538,1451.0,153903.0,935.0,10204.0,0.9330962863303562,0.06690371366964377,0.06217894422541391,7.032391454169538,0.6081307627829002,0.9378210557745861,0.12449592449592449,0.20668043586639126
8,8.0,1664.0,1651.0,13.0,99.21875,0.78125,13319.0,11855.0,1464.0,7.223945352727184,61.35792120704107,54.13397585431389,8.097677595628415,1464.0,152252.0,922.0,11855.0,0.9232580348723369,0.07674196512766303,0.07223945352727185,8.097677595628415,0.6135792120704108,0.9277605464727282,0.109918162024176,0.18643744030563517
9,9.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,14984.0,13513.0,1471.0,8.23426179261092,61.65129924559933,53.41703745298841,9.1862678450034,1471.0,150594.0,915.0,13513.0,0.9133417020535398,0.08665829794646021,0.08234261792610918,9.1862678450034,0.6165129924559933,0.9176573820738908,0.09817138280832888,0.16937248128957974
10,10.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,16649.0,15165.0,1484.0,9.240922081324989,62.19614417435038,52.95522209302539,10.21900269541779,1484.0,148942.0,902.0,15165.0,0.9034974443369992,0.09650255566300085,0.0924092208132499,10.21900269541779,0.6219614417435038,0.9075907791867501,0.08913448255150459,0.15592329918571055
11,11.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,18314.0,16817.0,1497.0,10.24758237003906,62.74098910310143,52.493406733062365,11.23380093520374,1497.0,147290.0,889.0,16817.0,0.8936531866204586,0.10634681337954148,0.1024758237003906,11.23380093520374,0.6274098910310143,0.8975241762996095,0.08174074478541007,0.1446376811594203
12,12.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,19979.0,18471.0,1508.0,11.255461375809686,63.202011735121545,51.94655035931186,12.24867374005305,1508.0,145636.0,878.0,18471.0,0.8837849038698323,0.11621509613016763,0.11255461375809685,12.24867374005305,0.6320201173512154,0.8874453862419032,0.07547925321587667,0.13485356583948133
13,13.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,21644.0,20127.0,1517.0,12.264559098636864,63.579212070410726,51.31465297177386,13.267633487145682,1517.0,143980.0,869.0,20127.0,0.8738925960851207,0.12610740391487932,0.12264559098636865,13.267633487145682,0.6357921207041073,0.8773544090136314,0.07008870818702642,0.1262588431127757
14,14.0,1665.0,1661.0,4.0,99.75975975975976,0.24024024024024015,23309.0,21788.0,1521.0,13.27670361410543,63.74685666387259,50.47015304976716,14.324786324786325,1521.0,142319.0,865.0,21788.0,0.8639402257151952,0.13605977428480476,0.1327670361410543,14.324786324786325,0.6374685666387259,0.8672329638589457,0.0652537646402677,0.11838879159369528
15,15.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,24974.0,23440.0,1534.0,14.283363902819502,64.29170159262364,50.00833768980414,15.28031290743155,1534.0,140667.0,852.0,23440.0,0.8540959679986546,0.1459040320013454,0.14283363902819501,15.28031290743155,0.6429170159262364,0.857166360971805,0.06142388083606951,0.1121345029239766
16,16.0,1665.0,1643.0,22.0,98.67867867867868,1.3213213213213209,26639.0,25083.0,1556.0,15.284539964779077,65.21374685666387,49.929206891884796,16.120179948586117,1556.0,139024.0,830.0,25083.0,0.8443598229354988,0.1556401770645012,0.15284539964779076,16.120179948586117,0.6521374685666387,0.8471546003522092,0.05841060099853598,0.10721791559000861
17,17.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,28304.0,26740.0,1564.0,16.294247046134533,65.54903604358759,49.25478899745306,17.097186700767264,1564.0,137367.0,822.0,26740.0,0.8344555026337444,0.16554449736625565,0.16294247046134533,17.097186700767264,0.6554903604358759,0.8370575295386546,0.05525720746184285,0.10192245030954708
18,18.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,29969.0,28393.0,1576.0,17.301516693376882,66.05196982397318,48.7504531305963,18.015862944162436,1576.0,135714.0,810.0,28393.0,0.824599232400161,0.17540076759983902,0.1730151669337688,18.015862944162436,0.6605196982397318,0.8269848330662312,0.05258767392972739,0.09741925513830937
19,19.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,31634.0,30046.0,1588.0,18.30878634061923,66.55490360435876,48.24611726373953,18.920654911838792,1588.0,134061.0,798.0,30046.0,0.8147429621665776,0.18525703783342243,0.1830878634061923,18.920654911838792,0.6655490360435876,0.8169121365938077,0.05019915281026743,0.09335684891240446
20,20.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,33299.0,31704.0,1595.0,19.319102780502966,66.84828164291702,47.52917886241405,19.877115987460815,1595.0,132403.0,791.0,31704.0,0.8048266293477804,0.19517337065221962,0.19319102780502964,19.877115987460815,0.6684828164291702,0.8068089721949704,0.047899336316405895,0.0893933025080566
21,21.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,34964.0,33356.0,1608.0,20.325763069217036,67.39312657166806,47.06736350245103,20.743781094527364,1608.0,130751.0,778.0,33356.0,0.7949823716312397,0.20501762836876025,0.20325763069217034,20.743781094527364,0.6739312657166806,0.7967423693078296,0.04599016130877474,0.08610441767068272
22,22.0,1664.0,1654.0,10.0,99.39903846153847,0.600961538461533,36628.0,35010.0,1618.0,21.33364207498766,67.81223805532271,46.478595980335044,21.637824474660075,1618.0,129097.0,768.0,35010.0,0.7851080826220922,0.21489191737790778,0.2133364207498766,21.637824474660075,0.6781223805532272,0.7866635792501234,0.044173856066397295,0.08294458399548879
23,23.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,38293.0,36668.0,1625.0,22.343958514871396,68.10561609388097,45.76165757900957,22.564923076923076,1625.0,127439.0,761.0,36668.0,0.7751917498032951,0.22480825019670497,0.22343958514871395,22.564923076923076,0.6810561609388097,0.776560414851286,0.04243595435197033,0.0798938026991814
24,24.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,39958.0,38324.0,1634.0,23.353056237698574,68.48281642917016,45.12976019147158,23.45410036719706,1634.0,125783.0,752.0,38324.0,0.7652994420185834,0.23470055798141665,0.23353056237698575,23.45410036719706,0.6848281642917016,0.7664694376230142,0.04089293758446369,0.07717740411864728
25,25.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,41623.0,39982.0,1641.0,24.36337267758231,68.77619446772842,44.41282179014611,24.364411943936624,1641.0,124125.0,745.0,39982.0,0.7553831091997861,0.24461689080021382,0.2436337267758231,24.364411943936624,0.6877619446772841,0.7563662732241769,0.03942531773298417,0.07457565497966324
26,26.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,43288.0,41637.0,1651.0,25.37186104188121,69.19530595138306,43.82344490950185,25.219261053906724,1651.0,122470.0,735.0,41637.0,0.7455028139321173,0.25449718606788274,0.2537186104188121,25.219261053906724,0.6919530595138307,0.7462813895811878,0.0381399002032896,0.07229495993344134
27,27.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,44953.0,43290.0,1663.0,26.37913068912356,69.69823973176865,43.319109042645096,26.03126879134095,1663.0,120817.0,723.0,43290.0,0.7356465436985339,0.2643534563014661,0.2637913068912356,26.03126879134095,0.6969823973176865,0.7362086931087644,0.0369941939358886,0.07025919432180655
28,28.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,46618.0,44948.0,1670.0,27.389447129007294,69.99161777032691,42.60217064131962,26.91497005988024,1670.0,119159.0,716.0,44948.0,0.7257302108797367,0.27426978912026334,0.27389447129007294,26.91497005988024,0.6999161777032691,0.7261055287099271,0.035823072632888586,0.06815770141212962
29,29.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,48283.0,46603.0,1680.0,28.397935493306196,70.41072925398156,42.012793760675365,27.739880952380954,1680.0,117504.0,706.0,46603.0,0.7158499156120678,0.2841500843879322,0.283979354933062,27.739880952380954,0.7041072925398156,0.7160206450669381,0.03479485533210447,0.06631273559770273
30,30.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,49948.0,48255.0,1693.0,29.404595782020266,70.9555741827326,41.55097840071234,28.502658003544006,1693.0,115852.0,693.0,48255.0,0.7060056578955272,0.29399434210447284,0.29404595782020265,28.502658003544006,0.7095557418273261,0.7059540421797973,0.03389525106110355,0.06469981274123897
